,Hora_Ini,Hora_Ini_E,Recur,Per_hog,Turismos,Sexo,Edad,crnt_tur,Income,Income_Percentile,O_long,O_lat,D_long,D_lat,drive_tt,distance,walk_tt,transit_tt_gm,Tipo_familia,Mun_Ori,Mun_Des,prediction
0,18:00,217,22,2,2,2,5,1,21756.57,1,-1.951619540841184,43.31823501756152,-2.0008407579048315,43.23611341641387,13.574366666666666,13017.498,201.78923333333333,14.3748,4,69,67,Car
1,13:30,163,23,1,1,1,5,2,23126.5,2,-1.966412302096313,43.30971996305466,-1.8829879908618827,43.30807018604729,7.9669,8806.155,143.20018333333334,9.077200000000001,1,69,67,PT
2,16:00,193,22,2,2,2,5,2,22182.27,1,-1.939176393421523,43.3136589174737,-2.0145457841019274,43.26597509953368,12.066366666666665,10614.893,163.29456666666667,15.620800000000001,2,69,67,PT
3,08:00,97,22,2,3,1,3,1,22642.935,2,-1.9579149048556348,43.31954500528849,-2.04497607580955,43.2698808816512,12.3185,10498.926,184.38593333333336,18.3532,2,69,67,Car
4,19:00,229,22,1,2,2,5,1,24338.91,3,-2.035872243991659,43.30917362751989,-2.0699579873715366,43.27124162930392,13.610283333333333,6594.273,110.94191666666667,20.5196,1,69,67,Car
5,17:00,205,22,2,3,2,3,1,23969.435,2,-2.046359457855633,43.30605392091678,-2.01917361254581,43.27202119083374,12.840766666666667,6274.457,97.1273,12.160800000000002,2,69,67,Car
6,15:00,181,22,1,2,2,4,1,23692.86,2,-2.0289548221574294,43.31162460202518,-1.9712117458208145,43.307998843331895,14.263333333333332,5999.324,100.37161666666665,13.6076,3,69,67,Car
7,13:30,163,22,1,2,2,5,1,21388.620000000003,1,-1.9722197198842644,43.30860051949245,-1.8987090589824724,43.312687841861376,9.933483333333333,7398.241,129.3849,7.795999999999999,5,69,67,Car
8,18:00,217,22,2,2,2,5,1,21756.57,1,-1.9875587129601016,43.31455605843615,-1.9902404221553012,43.24254517387358,13.942733333333333,9717.363,158.5504,14.7396,4,69,67,Car
9,19:00,229,23,1,1,1,5,2,23126.5,2,-1.9300156000875364,43.32036563849564,-2.04497607580955,43.2698808816512,14.895716666666667,12501.354,212.11158333333333,14.559200000000002,1,69,67,PT
10,17:00,205,99,2,1,1,4,2,21338.35,1,-1.9405695346371077,43.30809072848519,-2.0188577723831584,43.25778480763346,10.95755,10115.329,167.66885,17.5364,2,69,67,PT
11,18:00,217,22,2,3,1,5,1,27437.11,4,-1.9979128222939024,43.30161529174048,-1.9528634971244885,43.2817541067672,9.313083333333333,6628.664,107.46453333333334,13.9296,4,69,67,Car
12,18:00,217,22,2,2,2,5,1,21756.57,1,-1.9525835587351672,43.31918327446686,-2.0008407579048315,43.23611341641387,13.1492,12692.405,201.6178,13.963999999999999,4,69,67,PT
13,18:00,217,22,2,2,2,5,1,21756.57,1,-1.9196738359247456,43.31664561199605,-1.9902445842461307,43.24775663793236,13.99155,12211.457,186.28705,14.738800000000001,4,69,67,Car
14,15:30,187,22,2,2,2,5,1,21756.57,1,-2.027479802924587,43.31615329333824,-2.0145457841019274,43.26597509953368,15.598366666666667,8768.685,127.74671666666667,16.0788,4,69,67,Car
15,05:30,67,22,2,3,1,3,1,24412.785,3,-1.9994449571861348,43.30667494392038,-1.9176825600640524,43.31656272936013,12.327633333333333,8268.433,137.56431666666668,15.6516,6,69,67,Car
16,11:30,139,99,2,3,1,3,1,21297.335,1,-1.9401925207886053,43.32391479934409,-1.794330512638408,43.36841691260834,21.215116666666667,16129.373,250.6327,19.0136,6,69,67,Car
17,18:00,217,22,2,3,1,5,1,27437.11,4,-1.98022004039675,43.315058631096186,-1.9942300408995253,43.2455368434464,11.63135,9346.517,157.1384,10.314,4,69,67,Car
18,18:00,217,22,2,2,2,5,1,21756.57,1,-1.9674921852757623,43.30648604575752,-2.0008407579048315,43.23611341641387,11.998866666666666,10025.028,164.71268333333333,12.307200000000002,4,69,67,PT
19,11:15,136,23,2,2,1,4,1,20912.65,1,-1.9693237610427967,43.31788261524028,-1.9902445842461307,43.24775663793236,13.125416666666666,10457.084,168.40991666666665,12.6552,4,69,67,Car
20,20:20,245,21,1,2,2,5,1,22983.81,2,-1.9684869787656305,43.3154054946754,-2.003316835054359,43.228444812214335,11.797083333333335,11954.899,203.79483333333334,15.587200000000003,5,69,67,Car
21,18:00,217,22,2,2,2,5,1,21756.57,1,-1.9984560778694005,43.311298230669216,-1.8988578111567656,43.29556104144509,17.249950000000002,9643.926,161.97028333333336,18.716800000000003,4,69,67,Car
22,13:00,157,22,2,2,1,3,1,18964.025,1,-1.966126806041241,43.3108800695693,-2.0145457841019274,43.26597509953368,12.30775,8842.24,133.56885,11.544400000000001,2,69,67,Car
23,06:00,73,22,2,2,1,4,1,21489.35,1,-1.9324588937391665,43.31553450950848,-2.000084310330793,43.23843656006834,13.6019,12466.184,202.21484999999998,16.2084,6,69,67,Car
24,13:30,163,23,1,1,1,5,2,23126.5,2,-2.058310405437929,43.31034401376812,-2.0145457841019274,43.26597509953368,17.58635,7903.565,138.80983333333333,24.5808,1,69,67,PT
25,06:00,73,22,2,2,1,4,1,21489.35,1,-1.9748014199269623,43.30400080151159,-2.061729753129557,43.267912557275146,13.436933333333334,10195.026,163.62353333333334,15.216800000000001,6,69,67,Car
26,06:00,73,22,2,2,1,4,1,21489.35,1,-1.9369596313290105,43.31745308854911,-2.003316835054359,43.228444812214335,12.6355,13547.208,215.7706,17.6648,6,69,67,Car
27,11:15,136,23,2,2,1,4,1,20912.65,1,-1.93798959222145,43.318495344052735,-1.8078777926453204,43.32939382832081,12.4468,11290.413,187.53699999999998,13.2924,4,69,67,Car
28,19:00,229,22,2,2,2,5,1,21756.57,1,-1.9676985396844808,43.32091133169917,-1.8673955082454887,43.31664237252656,12.355966666666665,9435.525,158.21883333333332,16.4684,4,69,67,Car
29,08:00,97,22,2,3,1,3,1,22642.935,2,-1.984799047076884,43.29927998813083,-1.9683518994959344,43.25381249010064,13.648283333333334,7006.005,116.28628333333333,18.1868,2,69,67,Car
30,19:00,229,22,2,2,2,5,1,21756.57,1,-2.0477604845044315,43.307853434647086,-1.9802984155413808,43.30634261383516,14.200099999999999,6792.937,111.7651,12.3488,4,69,67,Car
31,13:00,157,22,2,2,1,3,1,18964.025,1,-2.0261849185214404,43.31774350372576,-2.019497469748732,43.266643112706966,15.108916666666666,8455.188,135.55838333333332,16.0992,2,69,67,Car
32,12:30,151,23,2,2,1,5,1,23900.47,2,-1.9480204459123376,43.32193218663753,-1.803957135159139,43.3342790859071,12.160966666666667,12427.231,207.56901666666667,12.944,2,69,67,Car
33,18:30,223,23,2,2,1,6,1,25864.41,3,-1.969974120808524,43.3248817680481,-1.875793518514143,43.32363953650849,13.300716666666666,8425.789,140.75203333333332,18.568,2,69,67,Car
34,18:00,217,22,2,3,1,5,1,27437.11,4,-2.0066667391404254,43.3066961412279,-1.9942300408995253,43.2455368434464,12.292983333333332,8577.041,142.76958333333332,15.4248,4,69,67,Car
35,18:45,226,22,1,2,1,4,1,27197.56,4,-2.0320986582804985,43.27237046396776,-2.019741995772353,43.255058990983215,5.526566666666667,2584.451,43.97043333333333,5.550000000000001,1,69,67,Car
36,13:30,163,23,1,1,1,5,2,23126.5,2,-1.9729946729616417,43.29316855580296,-2.0008407579048315,43.23611341641387,8.861366666666667,8093.993,134.85731666666666,12.700000000000001,1,69,67,PT
37,14:15,172,22,2,3,2,3,1,10768.535000000002,1,-1.9255906825085445,43.320620973944855,-2.0008407579048315,43.23611341641387,14.59965,13224.86,223.07988333333333,14.174000000000001,4,69,67,Car
38,15:30,187,22,2,2,2,5,1,21756.57,1,-1.974616178055908,43.29458277756744,-1.9313356345074293,43.32452447569088,7.1781500000000005,5628.792,100.42183333333334,7.912800000000001,4,69,67,PT
39,11:00,133,22,2,2,2,3,1,18671.675,1,-1.950807625825029,43.31735480793087,-1.814725457016428,43.32762339256333,14.1241,12335.927,204.8047,12.0276,2,69,67,Car
40,15:00,181,22,1,2,2,3,1,24375.785,3,-1.952682038102276,43.32076115934689,-2.0494502926609264,43.26630225447646,13.05785,11764.933,199.65656666666666,13.932,3,69,67,PT
41,16:00,193,22,2,2,2,6,1,22590.46,2,-1.958617317109852,43.31726220497477,-1.814725457016428,43.32762339256333,13.734466666666666,12858.814,213.1284,13.154400000000003,4,69,67,PT
42,13:30,163,23,1,1,1,5,2,23126.5,2,-1.9553458633918044,43.31151049999206,-1.9683518994959344,43.25381249010064,11.9403,9314.006,134.8019666666667,17.1032,1,69,67,PT
43,08:20,101,22,2,2,2,5,1,23732.11,2,-2.0289548221574294,43.31162460202518,-1.976273059862108,43.32290455227859,12.679916666666665,5476.288,90.33445,12.078800000000001,5,69,67,Car
44,17:30,211,22,2,3,2,5,1,25718.91,3,-1.967000053872367,43.28804045513366,-1.8957549682824804,43.31173286650537,11.919,8381.105,136.36786666666666,18.378800000000002,4,69,67,Car
45,13:00,157,22,2,2,1,3,1,18964.025,1,-1.961131670247288,43.30722466450699,-2.000679248399339,43.2305449539953,10.165583333333332,10937.794,182.2857666666667,12.2112,2,69,67,Car
46,13:00,157,22,2,2,1,3,1,18964.025,1,-1.944925161200583,43.31736076532922,-1.8593414168073588,43.29821079964222,12.872683333333333,8817.694,140.54236666666665,12.903200000000002,2,69,67,Car
47,19:00,229,23,1,1,1,5,2,23126.5,2,-2.0012450626946907,43.30084007178462,-1.9239973988906112,43.32524540775665,12.260150000000001,7931.758,131.1531,10.360800000000001,1,69,67,PT
48,17:45,214,22,2,3,1,5,1,25069.96,3,-1.93239857197087,43.31501021943419,-1.9902445842461307,43.24775663793236,13.218266666666667,10753.151,174.18846666666667,15.208000000000002,4,69,67,Car
49,14:15,172,22,2,3,2,3,1,10768.535000000002,1,-1.9612361788466064,43.30511173122466,-1.8731047868728623,43.318084656152685,11.990816666666666,9254.135,152.97365,16.9088,4,69,67,Car
50,13:30,163,22,1,2,2,5,1,21388.620000000003,1,-1.9665415957503765,43.30969165749748,-1.9902404221553012,43.24254517387358,12.4076,9576.01,160.26685,11.2044,5,69,67,PT
51,05:10,63,23,2,2,1,6,1,24269.22,3,-1.96971876243533,43.32350491465426,-2.019741995772353,43.255058990983215,12.173966666666667,10190.191,172.52548333333334,15.195599999999999,2,69,67,Car
52,11:00,133,22,2,2,2,3,1,18671.675,1,-1.951473210497564,43.319406512426966,-1.814725457016428,43.32762339256333,13.88155,12035.092,201.13883333333334,10.4204,2,69,67,Car
53,16:45,202,22,2,2,1,5,1,25069.96,3,-1.9654453623473205,43.32585908851763,-2.0554203612698845,43.27253423984491,13.685533333333332,11103.975,194.45586666666668,14.2432,4,69,67,Car
54,13:30,163,23,1,1,1,5,2,23126.5,2,-1.996670940576704,43.309297933448,-1.9367546265636464,43.28977124400879,13.262616666666666,7084.154,102.28406666666666,17.3292,1,69,67,PT
55,05:30,67,22,2,3,1,3,1,24412.785,3,-2.0011393821409538,43.30943295127276,-2.0188577723831584,43.25778480763346,10.148850000000001,7327.188,121.50266666666667,11.420000000000002,6,69,67,Car
56,18:30,223,23,2,2,1,6,1,25864.41,3,-2.001777771055077,43.31359685062122,-1.950790918483202,43.28519385516215,10.459183333333334,6391.316,111.05298333333333,13.5088,2,69,67,Car
57,18:45,226,22,1,2,1,4,1,27197.56,4,-2.012430154482556,43.30066357810816,-2.020233010252909,43.25152184214526,7.450633333333333,7035.821,115.58871666666667,11.745600000000001,1,69,67,Car
58,18:00,217,22,2,3,1,5,1,27437.11,4,-2.022380342405941,43.25796648317837,-2.020233010252909,43.25152184214526,2.5679000000000003,1027.224,14.324466666666666,3.7728,4,69,67,Andando
59,19:00,229,23,1,1,1,5,2,23126.5,2,-1.9668542269680884,43.319929470111305,-2.018257662974748,43.22478540596418,14.212483333333333,14396.702,235.04116666666667,13.6864,1,69,67,PT
60,16:00,193,22,2,2,2,5,2,22182.27,1,-1.9334404615664165,43.31583055065435,-2.003316835054359,43.228444812214335,12.776816666666667,13221.008,216.2658,16.8088,2,69,67,PT
61,18:45,226,22,1,2,1,4,1,27197.56,4,-1.9740438582381803,43.324914001064926,-2.003316835054359,43.228444812214335,13.989466666666667,12787.674,210.45106666666666,14.7588,1,69,67,Car
62,18:45,226,22,1,2,1,4,1,27197.56,4,-1.9869825391671996,43.31065506397248,-1.8987090589824724,43.312687841861376,13.9821,8643.889,142.00678333333332,12.182400000000001,1,69,67,Car
63,17:00,205,99,2,1,1,4,2,21338.35,1,-1.954241872043059,43.32047632601876,-1.8619733820003883,43.31789513276446,11.967666666666666,8246.084,142.06175,11.902000000000001,2,69,67,PT
64,13:00,157,22,2,2,1,3,1,18964.025,1,-1.975898155164049,43.28956894160133,-1.9942300408995253,43.2455368434464,9.48755,6553.972,110.10715,11.3632,2,69,67,Car
65,15:00,181,22,1,2,2,3,1,24375.785,3,-1.9492429308381565,43.32062938312569,-1.8593414168073588,43.29821079964222,11.869066666666667,8569.152,142.90966666666665,12.2112,3,69,67,PT
66,17:45,214,22,2,3,1,5,1,25069.96,3,-1.9722670343306137,43.30476371778818,-1.99199601397193,43.24023342636492,10.782166666666665,9328.02,154.31773333333334,13.856000000000002,4,69,67,Car
67,19:00,229,23,1,1,1,5,2,23126.5,2,-2.0144114033149627,43.29626573543528,-2.041268190635732,43.2719633543846,3.5495500000000004,3914.083,73.41805,17.7712,1,69,67,PT
68,15:00,181,22,1,2,2,3,1,24375.785,3,-1.975275325346968,43.324690002573696,-1.902664305540033,43.30136034166794,12.0024,7960.477,126.65778333333333,12.4648,3,69,67,PT
69,15:00,181,22,1,2,2,4,1,23692.86,2,-1.949211288932001,43.32354173522716,-1.9683518994959344,43.25381249010064,11.675366666666667,10210.264,161.40011666666666,17.7116,3,69,67,PT
70,08:00,97,22,1,2,1,5,1,25210.22,3,-1.9550830084616664,43.32244522766,-1.9926902468478276,43.23754161314464,14.440966666666666,13141.235,207.61794999999998,15.830400000000001,1,69,67,Car
71,18:00,217,22,2,2,2,5,1,21756.57,1,-1.93239857197087,43.31501021943419,-2.061729753129557,43.267912557275146,18.4406,13877.144,220.27903333333333,18.1016,4,69,67,Car
