,Hora_Ini,Hora_Ini_E,Recur,Per_hog,Turismos,Sexo,Edad,crnt_tur,Income,Income_Percentile,O_long,O_lat,D_long,D_lat,drive_tt,distance,walk_tt,transit_tt_gm,Tipo_familia,Mun_Ori,Mun_Des,prediction
0,18:00,217,22,2,2,2,5,1,21756.57,1,-1.951619540841184,43.31823501756152,-1.9510019007619253,43.2815450936891,9.71335,6201.491,85.9267,24.349600000000002,4,69,67,PT
1,13:30,163,23,1,1,1,5,2,23126.5,2,-1.966412302096313,43.30971996305466,-1.938720674370101,43.315978333689046,3.7405833333333334,3389.917,60.2994,11.712000000000002,1,69,67,PT
2,16:00,193,22,2,2,2,5,2,22182.27,1,-1.939176393421523,43.3136589174737,-1.8957549682824804,43.31173286650537,7.5372,4706.153,73.62010000000001,15.175200000000002,2,69,67,PT
3,08:00,97,22,2,3,1,3,1,22642.935,2,-1.9579149048556348,43.31954500528849,-1.8988378920575135,43.32098121371322,6.852183333333333,5234.664,86.53928333333333,15.748,2,69,67,Car
4,19:00,229,22,1,2,2,5,1,24338.91,3,-2.035872243991659,43.30917362751989,-2.004880784669889,43.31291613068946,8.7548,3501.975,53.93076666666666,13.8272,1,69,67,Car
5,17:00,205,22,2,3,2,3,1,23969.435,2,-2.046359457855633,43.30605392091678,-2.0118999364565444,43.30259824417561,8.119166666666667,3554.916,61.07985,19.7376,2,69,67,Car
6,15:00,181,22,1,2,2,4,1,23692.86,2,-2.0289548221574294,43.31162460202518,-2.008317874610272,43.29677775134412,10.361133333333333,4436.59,60.88533333333333,22.7808,3,69,67,Car
7,13:30,163,22,1,2,2,5,1,21388.620000000003,1,-1.9722197198842644,43.30860051949245,-2.020281558408339,43.3013654720065,9.025766666666668,4825.128,80.03608333333334,20.456000000000003,5,69,67,Car
8,18:00,217,22,2,2,2,5,1,21756.57,1,-1.9875587129601016,43.31455605843615,-1.9580331186891275,43.318984938534925,6.4615,2903.852,47.58526666666667,17.284000000000002,4,69,67,PT
9,19:00,229,23,1,1,1,5,2,23126.5,2,-1.9300156000875364,43.32036563849564,-1.8948323433368184,43.29861219539372,10.536516666666667,5094.121,80.21731666666666,19.644800000000004,1,69,67,PT
10,17:00,205,99,2,1,1,4,2,21338.35,1,-1.9405695346371077,43.30809072848519,-1.8987090589824724,43.312687841861376,10.3986,4731.974,75.70928333333333,19.8736,2,69,67,PT
11,18:00,217,22,2,3,1,5,1,27437.11,4,-1.9979128222939024,43.30161529174048,-1.9848810712957423,43.31655342482418,6.168383333333334,2619.562,39.59623333333333,10.496,4,69,67,Car
12,18:00,217,22,2,2,2,5,1,21756.57,1,-1.9525835587351672,43.31918327446686,-1.992436225140203,43.31184227377728,9.30475,4399.452,69.00026666666666,22.2896,4,69,67,Car
13,18:00,217,22,2,2,2,5,1,21756.57,1,-1.9196738359247456,43.31664561199605,-1.981243782233088,43.31954308642647,8.979083333333334,5570.046,91.86708333333333,18.270400000000002,4,69,67,PT
14,15:30,187,22,2,2,2,5,1,21756.57,1,-2.027479802924587,43.31615329333824,-2.0035716471093403,43.30088455496067,9.885133333333332,4120.913,60.18116666666666,20.3608,4,69,67,Car
