,Hora_Ini,Hora_Ini_E,Recur,Per_hog,Turismos,Sexo,Edad,crnt_tur,Income,Income_Percentile,O_long,O_lat,D_long,D_lat,drive_tt,distance,walk_tt,transit_tt_gm,Tipo_familia,Mun_Ori,Mun_Des,prediction
0,18:00,217,22,1,1,2,4,1,21665.65,1,-2.174234002820701,43.05104385234866,-2.1970710181133266,43.04902291601545,6.56625,2920.358,46.69396666666667,11.9472,1,76,69,PT
1,18:00,217,22,1,1,2,4,1,21665.65,1,-2.178078452508953,43.05594732290925,-2.189314037602365,43.04073115114208,5.488916666666666,2453.025,42.375816666666665,19.016000000000002,1,76,69,PT
2,18:00,217,22,1,1,2,4,1,21665.65,1,-2.179076102590075,43.05422161215982,-2.18686172007936,43.03450733459746,8.67375,4010.954,50.9839,16.5864,1,76,69,PT
3,18:00,217,22,1,1,2,4,1,21665.65,1,-2.179179448959135,43.054588976068985,-2.1816691307649774,43.02759725063043,7.483833333333333,4155.904,68.43888333333332,22.3104,1,76,69,PT
4,18:00,217,22,1,1,2,4,1,21665.65,1,-2.1796904797252803,43.05231650960145,-2.2183181077384315,43.05100185594879,5.676516666666667,3993.625,67.34703333333333,15.069600000000001,1,76,69,PT
5,18:00,217,22,1,1,2,4,1,21665.65,1,-2.178838739947812,43.056137252487126,-2.1816691307649774,43.02759725063043,7.6550666666666665,4224.407,72.26548333333334,23.979200000000002,1,76,69,PT
6,18:00,217,22,1,1,2,4,1,21665.65,1,-2.18023542733052,43.053919850669246,-2.1811499675599046,43.0257655403771,7.140066666666667,4018.376,67.01391666666667,12.5776,1,76,69,PT
7,18:00,217,22,2,3,1,3,1,22642.935,2,-1.9067464108714691,43.3110792870394,-1.8957549682824804,43.31173286650537,3.8545000000000003,1307.406,17.947983333333333,8.2872,2,67,69,Andando
8,07:30,91,22,2,2,2,5,1,21756.57,1,-1.907325650628928,43.31296969715969,-1.8957549682824804,43.31173286650537,3.3474166666666667,1339.032,20.00273333333333,7.799200000000001,4,67,69,Andando
9,07:30,91,22,1,2,1,4,1,24830.41,3,-1.890733319508391,43.310258935735206,-1.8818171761266744,43.29787774813656,3.821766666666667,2035.109,34.59028333333333,15.903200000000002,1,67,69,PT
10,07:15,88,22,2,3,2,3,1,23969.435,3,-1.8939753817789944,43.308736807142125,-1.912522870016655,43.30689369310432,7.394983333333333,2742.572,40.619683333333334,16.7672,2,67,69,Car
11,15:30,187,22,1,2,2,5,1,20053.2,1,-1.9106359768946304,43.3135364040136,-1.9122907799041784,43.32254825310857,7.277533333333333,3019.325,47.772450000000006,22.004800000000003,5,67,69,PT
12,14:00,169,22,1,2,1,5,1,23874.8,3,-1.8970387518361749,43.31177212801288,-1.903458156853628,43.3052673986488,5.362566666666667,1642.092,19.600733333333334,11.679200000000002,1,67,69,Andando
13,08:00,97,99,1,3,1,4,1,25842.46,4,-1.894281506875208,43.30890901467812,-1.901083880736792,43.31759378449274,3.9965166666666665,1665.877,21.869616666666666,12.450400000000002,5,67,69,Andando
14,12:30,151,23,2,2,1,6,1,28231.56,4,-1.8984283623785447,43.30977155063084,-1.8948323433368184,43.29861219539372,4.501216666666666,1802.623,25.98231666666667,9.8048,2,67,69,Car
15,14:15,172,22,2,3,1,3,1,24412.785,3,-1.899507911661777,43.31044684548338,-1.9109605628590465,43.31693690257424,4.45295,1986.776,25.137966666666667,10.924,6,67,69,Car
16,07:30,91,22,2,2,2,5,1,21756.57,1,-1.899336468610584,43.30879172844597,-1.8988378920575135,43.32098121371322,4.78405,1890.561,29.510883333333332,13.958400000000001,4,67,69,Andando
17,12:30,151,23,2,2,1,6,1,28231.56,4,-1.908636672460896,43.31546743630244,-1.9198299468367088,43.325755037874906,8.036283333333333,3424.835,54.09903333333333,24.0272,2,67,69,Car
18,17:00,205,22,2,2,2,5,1,25718.91,4,-1.890204159583889,43.30780620937384,-1.8777402722716336,43.31651903541905,4.574966666666667,1938.871,31.354049999999997,16.6624,4,67,69,Andando
19,15:00,181,22,2,2,2,5,1,23732.11,3,-1.8971704971898429,43.31371173750215,-1.9109605628590465,43.31693690257424,2.8507833333333332,1663.63,23.220633333333335,7.0536,5,67,69,Andando
20,08:30,103,22,2,2,1,3,1,21894.635,2,-1.9064258399235607,43.317619112618544,-1.9209416069006209,43.32017380497583,2.179666666666667,1450.117,25.618016666666666,6.8928,2,67,69,Andando
21,10:00,121,23,2,2,1,4,1,22248.07,2,-1.9084717460598133,43.31016399151274,-1.9209416069006209,43.32017380497583,5.02,2352.383,30.103316666666668,10.779200000000001,4,67,69,Car
22,08:10,99,22,2,3,2,5,1,25547.31,4,-1.9005227361968455,43.31222964908327,-1.8948323433368184,43.29861219539372,5.543866666666667,2079.343,32.224783333333335,12.268,6,67,69,PT
23,07:15,88,22,2,3,2,3,1,23969.435,3,-1.8939941061393064,43.30717299340361,-1.9013570655442065,43.31329729992184,3.091,963.1,19.224833333333333,11.356000000000002,2,67,69,Andando
24,07:00,85,22,2,3,1,5,1,27437.11,4,-1.9002478507176357,43.313323727816886,-1.902664305540033,43.30136034166794,4.211566666666666,1629.529,29.00766666666667,10.780000000000001,4,67,69,Car
25,23:00,277,23,2,2,1,6,1,28231.56,4,-1.897964582017204,43.31265211577704,-1.8948323433368184,43.29861219539372,5.142966666666666,2153.434,30.503783333333335,18.186400000000003,2,67,69,Car
26,07:15,88,22,2,3,2,3,1,23969.435,3,-1.8934170446136664,43.308422249107736,-1.8777402722716336,43.31651903541905,5.26285,2286.544,35.625816666666665,16.7864,2,67,69,Car
27,15:40,189,23,1,1,1,5,2,28424.26,4,-1.9027168723222545,43.31406442816387,-1.912522870016655,43.30689369310432,5.3502833333333335,2099.123,32.312533333333334,12.568800000000001,1,67,69,PT
28,08:10,99,22,2,3,2,3,1,13135.685,1,-1.9117252420278237,43.31107711854578,-1.9013570655442065,43.31329729992184,2.4225,969.04,21.399516666666667,8.8984,4,67,69,Andando
29,07:30,91,22,2,3,2,5,1,25718.91,4,-1.914172831321175,43.31076553713401,-1.921389207325904,43.32165155757442,4.086650000000001,1979.033,28.266916666666667,9.4872,4,67,69,Car
30,07:30,91,22,2,2,1,5,1,25069.96,3,-1.8978871141942224,43.31375967405069,-1.9109605628590465,43.31693690257424,2.9183166666666667,1656.065,22.06383333333333,6.717600000000001,4,67,69,Andando
31,08:10,99,22,2,3,2,3,1,13135.685,1,-1.9023360863276304,43.31528535628448,-1.9122907799041784,43.32254825310857,5.302816666666667,2229.4,34.71086666666667,15.444,4,67,69,Car
